starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707791632	2	6	8	3
Thu Dec 22 21:15:07 2016	1482437707797635	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707798138	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707798637	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707799137	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707800137	1	4	5	2
Thu Dec 22 21:15:07 2016	1482437707801638	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707802139	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707803139	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707803640	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707805141	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707806141	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707806641	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707807642	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707808642	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707809143	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707810146	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707811144	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707811646	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707812646	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707814649	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707815148	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707816710	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707817710	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707818212	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707819213	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707813647	0	9	9	3
Thu Dec 22 21:15:07 2016	1482437707820213	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707821214	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707821716	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707822714	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707823214	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707824216	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707825215	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707825717	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707826217	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707827218	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707828217	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707828719	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707829720	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707830219	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707830719	1	4	5	4
Thu Dec 22 21:15:07 2016	1482437707831721	1	4	5	2
Thu Dec 22 21:15:07 2016	1482437707833723	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707834221	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707834723	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707835723	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707836723	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707837726	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707838225	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707838725	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707839725	0	3	3	2
